	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
OAS2	20.02933856	19.07715367	18.66391777	18.86318771	19.05349306	18.37211377	19.80878281	19.60514017	20.46387897	20.2134077	18.76293151	20.72569442	21.11811189	20.72079186
TAGAP	18.25700592	16.99115475	18.58097334	17.6270533	17.96841871	17.483801	17.69678869	19.04376892	19.4562254	19.70402933	17.693091	20.29891263	20.71150423	19.62846968
CD27	16.73891827	15.25211483	15.37441115	16.97963929	15.36220366	14.5548841	14.88717071	17.25086515	18.13045524	18.80219103	15.63224235	18.68605466	19.32282033	18.76891381
TARP	18.95338971	16.3905616	17.23054844	18.42769185	17.6998561	17.04426894	17.16727863	19.35012121	19.0069407	19.80086319	17.72393896	20.88454881	21.26381715	19.94967804
NKG7	19.04467021	17.95972224	17.86982206	18.57789862	18.72408736	17.76133498	17.01600069	19.23822833	20.04747074	21.60517846	18.35444032	21.6022583	21.47511903	22.09930348
CD3E	19.73135828	17.64294876	17.68021958	18.54442391	17.50329598	18.03186392	17.53924741	19.78749641	19.69755131	21.42255082	18.02652794	20.38013888	21.19513778	20.92645509
FYB	20.39976517	19.64492641	19.21104599	20.45036093	19.82432771	19.41859387	20.46948849	22.76372044	20.84008521	22.47083794	19.89776084	22.03007151	22.67491402	21.1596761
NCF1	18.95771563	18.85341802	18.85314332	18.10637563	18.66423219	18.04920124	18.83264671	19.59030089	20.22252386	20.44312436	18.27326969	20.8723741	21.34627931	21.10513256
BATF	18.53546103	19.55049887	17.93693626	17.08273279	18.05043001	17.29738788	18.53798576	20.1094245	19.24422411	20.0938076	17.47685023	20.06615079	20.62357087	19.44044287
CD6	18.36680163	16.03404057	16.53838688	17.16921985	16.96354199	16.79695889	17.44277115	18.21906309	18.19696398	19.62444743	16.97657358	19.29418801	19.99282189	19.43222236
CD3G	20.6594838	18.50058851	18.14112409	20.04493075	19.26645678	19.09999709	18.53039261	20.88664654	20.45386226	21.86929014	19.47046154	21.93939567	22.71162968	21.17945629
CCL5	19.75950626	17.55734005	18.89681105	19.7456978	19.19682622	18.60431381	18.56796492	20.35451893	20.55324025	22.92680224	19.18227928	22.41335279	22.53928792	21.47386587
CD38	18.62249821	16.75522558	15.78944865	18.46236012	17.69789991	18.3240862	16.94923168	19.11461925	20.20647048	20.45245674	18.16144874	21.07128846	21.21898452	20.26178202
TNFAIP8	17.83610619	18.45847921	17.88631019	18.32716498	15.91384608	17.06876351	18.19315726	19.44939586	18.66880238	19.63938229	17.10325819	20.18685671	20.34239587	19.47686628
